year	District	Dropout Rate (%)	Literacy Rate (%)	Teacher-Student Ratio	School Infrastructure Quality	Average Annual Income (INR)
2021-2022	Anantapur	16.7	63.57	01:30	Good	1,76,707
2021-2022	Chittoor	14.5	71.53	01:28	Very Good	1,92,587
2021-2022	East Godavari	13.2	70.99	01:32	Good	2,07,717
2021-2022	Guntur	15.1	67.4	01:29	Average	1,76,707
2021-2022	Kadapa	14.8	66.7	01:31	Good	1,76,707
2021-2022	Krishna	12.9	73.74	01:27	Very Good	1,92,587
2021-2022	Kurnool	17.3	59.97	01:33	Average	1,76,707
2021-2022	Nellore	13.7	68.9	01:30	Good	1,76,707
2021-2022	Prakasam	15.4	63.08	01:32	Average	1,76,707
2021-2022	Srikakulam	14	61.74	01:31	Good	1,76,707
2021-2022	Visakhapatnam	13.5	66.91	01:28	Very Good	2,07,717
2021-2022	Vizianagaram	14.2	58.89	01:32	Good	1,76,707
2021-2022	West Godavari	13	74.63	01:29	Very Good	2,07,717
2020-2021	Anantapur	17	63	01:31	Good	1,70,000
2020-2021	Chittoor	15	71	01:29	Very Good	1,85,000
2020-2021	East Godavari	13.5	70.5	01:33	Good	2,00,000
2020-2021	Guntur	15.5	67	01:30	Average	1,70,000
2020-2021	Kadapa	15	66	01:32	Good	1,70,000
2020-2021	Krishna	13	73	01:28	Very Good	1,85,000
2020-2021	Kurnool	17.5	59.5	01:34	Average	1,70,000
2020-2021	Nellore	14	68.5	01:31	Good	1,70,000
2020-2021	Prakasam	15.5	62.5	01:33	Average	1,70,000
2020-2021	Srikakulam	14.5	61	01:32	Good	1,70,000
2020-2021	Visakhapatnam	14	66.5	01:29	Very Good	2,00,000
2020-2021	Vizianagaram	14.5	58.5	01:33	Good	1,70,000
2020-2021	West Godavari	13.5	74	01:30	Very Good	2,00,000
2019-2020	Anantapur	17.5	62.5	01:32	Good	1,65,000
2019-2020	Chittoor	15.5	70.5	01:30	Very Good	1,80,000
2019-2020	East Godavari	14	70	01:34	Good	1,95,000
2019-2020	Guntur	16	66.5	01:31	Average	1,65,000
2019-2020	Kadapa	15.5	65.5	01:33	Good	1,65,000
2019-2020	Krishna	13.5	72.5	01:29	Very Good	1,80,000
2019-2020	Kurnool	18	59	01:35	Average	1,65,000
2019-2020	Nellore	14.5	68	01:32	Good	1,65,000
2019-2020	Prakasam	16	62	01:34	Average	1,65,000
2019-2020	Srikakulam	15	60.5	01:33	Good	1,65,000
2019-2020	Visakhapatnam	14.5	66	01:30	Very Good	1,95,000
2019-2020	Vizianagaram	15	58	01:34	Good	1,65,000
2019-2020	West Godavari	14	73.5	01:31	Very Good	1,95,000
2018-2019	Anantapur	18	62	01:33	Good	1,60,000
2018-2019	Chittoor	16	70	01:31	Very Good	1,75,000
2018-2019	East Godavari	14.5	69.5	01:35	Good	1,90,000
2018-2019	Guntur	16.5	66	01:32	Average	1,60,000
2018-2019	Kadapa	16	65	01:34	Good	1,60,000
2018-2019	Krishna	14	72	01:30	Very Good	1,75,000
2018-2019	Kurnool	18.5	58.5	01:36	Average	1,60,000
2018-2019	Nellore	15	67.5	01:33	Good	1,60,000
2018-2019	Prakasam	16.5	61.5	01:35	Average	1,60,000
2018-2019	Srikakulam	15.5	60	01:34	Good	1,60,000
2018-2019	Visakhapatnam	14.5	65.5	01:31	Very Good	1,90,000
2018-2019	Vizianagaram	15	57.5	01:35	Good	1,60,000
2018-2019	West Godavari	14	73	01:32	Very Good	1,90,000
2017-2018	Anantapur	18.5	61.5	01:34	Good	1,55,000
2017-2018	Chittoor	16.5	69.5	01:32	Very Good	1,70,000
2017-2018	East Godavari	15	69	01:36	Good	1,85,000
2017-2018	Guntur	17	65.5	01:33	Average	1,55,000
2017-2018	Kadapa	16.5	64.5	01:35	Good	1,55,000
2017-2018	Krishna	14.5	71.5	01:31	Very Good	1,70,000
2017-2018	Kurnool	19	58	01:37	Average	1,55,000
2017-2018	Nellore	15.5	67	01:34	Good	1,55,000
2017-2018	Prakasam	17	61	01:36	Average	1,55,000
2017-2018	Srikakulam	16	59.5	01:35	Good	1,55,000
2017-2018	Visakhapatnam	15	65	01:32	Very Good	1,85,000
2017-2018	Vizianagaram	16	57	01:36	Good	1,55,000
2017-2018	West Godavari	15	72.5	01:33	Very Good	1,85,000
2016-2017	Anantapur	19	61	01:35	Good	1,50,000
2016-2017	Chittoor	17	69	01:33	Very Good	1,65,000
2016-2017	East Godavari	15.5	68.5	01:37	Good	1,80,000
2016-2017	Guntur	17.5	65	01:34	Average	1,50,000
2016-2017	Kadapa	17	64	01:36	Good	1,50,000
2016-2017	Krishna	15	71	01:32	Very Good	1,65,000
2016-2017	Kurnool	19.5	57.5	01:38	Average	1,50,000
2016-2017	Nellore	16	66.5	01:35	Good	1,50,000
2016-2017	Prakasam	17.5	60.5	01:37	Average	1,50,000
2016-2017	Srikakulam	16.5	59	01:36	Good	1,50,000
2016-2017	Visakhapatnam	15.5	64.5	01:33	Very Good	1,80,000
2016-2017	Vizianagaram	16.5	56.5	01:37	Good	1,50,000
2016-2017	West Godavari	15.5	72	01:34	Very Good	1,80,000
2015-2016	Anantapur	19	61	01:35	Good	1,50,000
2015-2016	Chittoor	17	69	01:33	Very Good	1,65,000
2015-2016	East Godavari	15.5	68.5	01:37	Good	1,80,000
2015-2016	Guntur	17.5	65	01:34	Average	1,50,000
2015-2016	Kadapa	17	64	01:36	Good	1,50,000
2015-2016	Krishna	15	71	01:32	Very Good	1,65,000
2015-2016	Kurnool	19.5	57.5	01:38	Average	1,50,000
2015-2016	Nellore	16	66.5	01:35	Good	1,50,000
2015-2016	Prakasam	17.5	60.5	01:37	Average	1,50,000
2015-2016	Srikakulam	16.5	59	01:36	Good	1,50,000
2015-2016	Visakhapatnam	15.5	64.5	01:33	Very Good	1,80,000
2015-2016	Vizianagaram	16.5	56.5	01:37	Good	1,50,000
2015-2016	West Godavari	15.5	72	01:34	Very Good	1,80,000
2014-2015	Anantapur	20	60	01:37	Good	1,40,000
2014-2015	Chittoor	18	68	01:35	Very Good	1,55,000
2014-2015	East Godavari	16.5	67.5	01:39	Good	1,70,000
2014-2015	Guntur	18.5	64	01:36	Average	1,40,000
2014-2015	Kadapa	18	63	01:38	Good	1,40,000
2014-2015	Krishna	16	70	01:34	Very Good	1,55,000
2014-2015	Kurnool	20.5	56.5	01:40	Average	1,40,000
2014-2015	Nellore	17	65.5	01:37	Good	1,40,000
2014-2015	Prakasam	18.5	59.5	01:39	Average	1,40,000
2014-2015	Srikakulam	17.5	58	01:38	Good	1,40,000
2014-2015	Visakhapatnam	16.5	63.5	01:35	Very Good	1,70,000
2014-2015	Vizianagaram	17.5	55.5	01:39	Good	1,40,000
2014-2015	West Godavari	16.5	71	01:36	Very Good	1,70,000
2013-2014	Anantapur	20.5	59.5	01:38	Good	1,35,000
2013-2014	Chittoor	18.5	67.5	01:36	Very Good	1,50,000
2013-2014	East Godavari	17	67	01:40	Good	1,65,000
2013-2014	Guntur	19	63.5	01:37	Average	1,35,000
2013-2014	Kadapa	18.5	62.5	01:39	Good	1,35,000
2013-2014	Krishna	16.5	69.5	01:35	Very Good	1,50,000
2013-2014	Kurnool	21	56	01:41	Average	1,35,000
2013-2014	Nellore	17.5	65	01:38	Good	1,35,000
2013-2014	Prakasam	19	59	01:40	Average	1,35,000
2013-2014	Srikakulam	18	57.5	01:39	Good	1,35,000
2013-2014	Visakhapatnam	17	63	01:36	Very Good	1,65,000
2013-2014	Vizianagaram	18	55	01:40	Good	1,35,000
2013-2014	West Godavari	17	70.5	01:37	Very Good	1,65,000
