year,District,Dropout Rate (%),Literacy Rate (%),Teacher-Student Ratio,School Infrastructure Quality,Average Annual Income (INR)
2021-2022,Anantapur,0.46913580246913544,0.43657666836474807,01:30,Good,0.5735522642573263
2021-2022,Chittoor,0.19753086419753085,0.8420784513499746,01:28,Very Good,0.7919331105518654
2021-2022,East Godavari,0.03703703703703676,0.814569536423841,01:32,Good,0.9999999999999998
2021-2022,Guntur,0.2716049382716048,0.6316861946001024,01:29,Average,0.5735522642573263
2021-2022,Kadapa,0.23456790123456783,0.5960264900662255,01:31,Good,0.5735522642573263
2021-2022,Krishna,0.0,0.9546612328069282,01:27,Very Good,0.7919331105518654
2021-2022,Kurnool,0.5432098765432098,0.2531839021905249,01:33,Average,0.5735522642573263
2021-2022,Nellore,0.0987654320987652,0.7080998471726954,01:30,Good,0.5735522642573263
2021-2022,Prakasam,0.308641975308642,0.411614875191034,01:32,Average,0.5735522642573263
2021-2022,Srikakulam,0.1358024691358024,0.3433520122261844,01:31,Good,0.5735522642573263
2021-2022,Visakhapatnam,0.07407407407407396,0.606724401426388,01:28,Very Good,0.9999999999999998
2021-2022,Vizianagaram,0.16049382716049365,0.19816607233825767,01:32,Good,0.5735522642573263
2021-2022,West Godavari,0.012345679012345512,1.0,01:29,Very Good,0.9999999999999998
2020-2021,Anantapur,0.5061728395061726,0.4075394803871628,01:31,Good,0.48131798616554566
2020-2021,Chittoor,0.2592592592592591,0.8150789607743252,01:29,Very Good,0.6875971230936371
2020-2021,East Godavari,0.07407407407407396,0.7896077432501274,01:33,Good,0.893876260021728
2020-2021,Guntur,0.3209876543209875,0.6113092205807438,01:30,Average,0.48131798616554566
2020-2021,Kadapa,0.2592592592592591,0.5603667855323486,01:32,Good,0.48131798616554566
2020-2021,Krishna,0.012345679012345512,0.9169638308711159,01:28,Very Good,0.6875971230936371
2020-2021,Kurnool,0.5679012345679013,0.2292409577177792,01:34,Average,0.48131798616554566
2020-2021,Nellore,0.1358024691358024,0.6877228731533367,01:31,Good,0.48131798616554566
2020-2021,Prakasam,0.3209876543209875,0.382068262862965,01:33,Average,0.48131798616554566
2020-2021,Srikakulam,0.19753086419753085,0.3056546102903721,01:32,Good,0.48131798616554566
2020-2021,Visakhapatnam,0.1358024691358024,0.5858380030565464,01:29,Very Good,0.893876260021728
2020-2021,Vizianagaram,0.19753086419753085,0.17829852266938362,01:33,Good,0.48131798616554566
2020-2021,West Godavari,0.07407407407407396,0.967906265919511,01:30,Very Good,0.893876260021728
2019-2020,Anantapur,0.5679012345679013,0.382068262862965,01:32,Good,0.41255827385618216
2019-2020,Chittoor,0.3209876543209875,0.7896077432501274,01:30,Very Good,0.6188374107842731
2019-2020,East Godavari,0.1358024691358024,0.76413652572593,01:34,Good,0.8251165477123641
2019-2020,Guntur,0.382716049382716,0.5858380030565464,01:31,Average,0.41255827385618216
2019-2020,Kadapa,0.3209876543209875,0.5348955680081509,01:33,Good,0.41255827385618216
2019-2020,Krishna,0.07407407407407396,0.8914926133469181,01:29,Very Good,0.6188374107842731
2019-2020,Kurnool,0.6296296296296295,0.2037697401935814,01:35,Average,0.41255827385618216
2019-2020,Nellore,0.19753086419753085,0.6622516556291393,01:32,Good,0.41255827385618216
2019-2020,Prakasam,0.382716049382716,0.35659704533876724,01:34,Average,0.41255827385618216
2019-2020,Srikakulam,0.2592592592592591,0.2801833927661743,01:33,Good,0.41255827385618216
2019-2020,Visakhapatnam,0.19753086419753085,0.5603667855323486,01:30,Very Good,0.8251165477123641
2019-2020,Vizianagaram,0.2592592592592591,0.15282730514518583,01:34,Good,0.41255827385618216
2019-2020,West Godavari,0.1358024691358024,0.9424350483953137,01:31,Very Good,0.8251165477123641
2018-2019,Anantapur,0.6296296296296295,0.35659704533876724,01:33,Good,0.3437985615468182
2018-2019,Chittoor,0.382716049382716,0.76413652572593,01:31,Very Good,0.5500776984749096
2018-2019,East Godavari,0.19753086419753085,0.7386653082017323,01:35,Good,0.7563568354030006
2018-2019,Guntur,0.4444444444444444,0.5603667855323486,01:32,Average,0.3437985615468182
2018-2019,Kadapa,0.382716049382716,0.5094243504839531,01:34,Good,0.3437985615468182
2018-2019,Krishna,0.1358024691358024,0.8660213958227208,01:30,Very Good,0.5500776984749096
2018-2019,Kurnool,0.6913580246913578,0.17829852266938362,01:36,Average,0.3437985615468182
2018-2019,Nellore,0.2592592592592591,0.6367804381049416,01:33,Good,0.3437985615468182
2018-2019,Prakasam,0.4444444444444444,0.33112582781456945,01:35,Average,0.3437985615468182
2018-2019,Srikakulam,0.3209876543209875,0.25471217524197654,01:34,Good,0.3437985615468182
2018-2019,Visakhapatnam,0.19753086419753085,0.5348955680081509,01:31,Very Good,0.7563568354030006
2018-2019,Vizianagaram,0.2592592592592591,0.1273560876209885,01:35,Good,0.3437985615468182
2018-2019,West Godavari,0.1358024691358024,0.9169638308711159,01:32,Very Good,0.7563568354030006
2017-2018,Anantapur,0.6913580246913578,0.33112582781456945,01:34,Good,0.2750388492374547
2017-2018,Chittoor,0.4444444444444444,0.7386653082017323,01:32,Very Good,0.48131798616554566
2017-2018,East Godavari,0.2592592592592591,0.7131940906775345,01:36,Good,0.6875971230936371
2017-2018,Guntur,0.5061728395061726,0.5348955680081509,01:33,Average,0.2750388492374547
2017-2018,Kadapa,0.4444444444444444,0.4839531329597557,01:35,Good,0.2750388492374547
2017-2018,Krishna,0.19753086419753085,0.840550178298523,01:31,Very Good,0.48131798616554566
